"REF_DATE","GEO","VALUE"
"1981-01","Montréal, Quebec",28.5
"1981-02","Montréal, Quebec",28.8
"1981-03","Montréal, Quebec",29
"1981-04","Montréal, Quebec",29.3
"1981-05","Montréal, Quebec",29.7
"1981-06","Montréal, Quebec",30
"1981-07","Montréal, Quebec",30.2
"1981-08","Montréal, Quebec",30.3
"1981-09","Montréal, Quebec",30.7
"1981-10","Montréal, Quebec",31
"1981-11","Montréal, Quebec",31.2
"1981-12","Montréal, Quebec",31.5
"1982-01","Montréal, Quebec",32
"1982-02","Montréal, Quebec",32
"1982-03","Montréal, Quebec",32.1
"1982-04","Montréal, Quebec",32.1
"1982-05","Montréal, Quebec",32.1
"1982-06","Montréal, Quebec",32.1
"1982-07","Montréal, Quebec",32.3
"1982-08","Montréal, Quebec",32.3
"1982-09","Montréal, Quebec",32.4
"1982-10","Montréal, Quebec",32.8
"1982-11","Montréal, Quebec",32.5
"1982-12","Montréal, Quebec",32.4
"1983-01","Montréal, Quebec",32.7
"1983-02","Montréal, Quebec",32.3
"1983-03","Montréal, Quebec",32.4
"1983-04","Montréal, Quebec",32.4
"1983-05","Montréal, Quebec",33.1
"1983-06","Montréal, Quebec",33.5
"1983-07","Montréal, Quebec",33.7
"1983-08","Montréal, Quebec",34.2
"1983-09","Montréal, Quebec",34.5
"1983-10","Montréal, Quebec",34.6
"1983-11","Montréal, Quebec",34.9
"1983-12","Montréal, Quebec",35.1
"1984-01","Montréal, Quebec",35.1
"1984-02","Montréal, Quebec",35.5
"1984-03","Montréal, Quebec",35.5
"1984-04","Montréal, Quebec",35.6
"1984-05","Montréal, Quebec",35.7
"1984-06","Montréal, Quebec",35.7
"1984-07","Montréal, Quebec",35.7
"1984-08","Montréal, Quebec",35.8
"1984-09","Montréal, Quebec",35.9
"1984-10","Montréal, Quebec",35.9
"1984-11","Montréal, Quebec",36
"1984-12","Montréal, Quebec",36.2
"1985-01","Montréal, Quebec",36.2
"1985-02","Montréal, Quebec",36.3
"1985-03","Montréal, Quebec",36.5
"1985-04","Montréal, Quebec",36.5
"1985-05","Montréal, Quebec",36.6
"1985-06","Montréal, Quebec",36.9
"1985-07","Montréal, Quebec",36.9
"1985-08","Montréal, Quebec",37.2
"1985-09","Montréal, Quebec",37.2
"1985-10","Montréal, Quebec",37.6
"1985-11","Montréal, Quebec",37.6
"1985-12","Montréal, Quebec",37.9
"1986-01","Montréal, Quebec",38.1
"1986-02","Montréal, Quebec",38.4
"1986-03","Montréal, Quebec",38.6
"1986-04","Montréal, Quebec",38.9
"1986-05","Montréal, Quebec",39
"1986-06","Montréal, Quebec",39.1
"1986-07","Montréal, Quebec",39.4
"1986-08","Montréal, Quebec",39.8
"1986-09","Montréal, Quebec",40.4
"1986-10","Montréal, Quebec",40.9
"1986-11","Montréal, Quebec",41.5
"1986-12","Montréal, Quebec",41.9
"1987-01","Montréal, Quebec",42.5
"1987-02","Montréal, Quebec",43
"1987-03","Montréal, Quebec",44
"1987-04","Montréal, Quebec",44.6
"1987-05","Montréal, Quebec",45.2
"1987-06","Montréal, Quebec",45.5
"1987-07","Montréal, Quebec",45.7
"1987-08","Montréal, Quebec",46.6
"1987-09","Montréal, Quebec",47.2
"1987-10","Montréal, Quebec",47.5
"1987-11","Montréal, Quebec",47.8
"1987-12","Montréal, Quebec",48.1
"1988-01","Montréal, Quebec",48.6
"1988-02","Montréal, Quebec",48.9
"1988-03","Montréal, Quebec",49.4
"1988-04","Montréal, Quebec",49.6
"1988-05","Montréal, Quebec",50
"1988-06","Montréal, Quebec",50
"1988-07","Montréal, Quebec",50.1
"1988-08","Montréal, Quebec",50.3
"1988-09","Montréal, Quebec",50.5
"1988-10","Montréal, Quebec",50.7
"1988-11","Montréal, Quebec",50.8
"1988-12","Montréal, Quebec",50.9
"1989-01","Montréal, Quebec",50.9
"1989-02","Montréal, Quebec",50.9
"1989-03","Montréal, Quebec",51.1
