"REF_DATE","GEO","VALUE"
"1981-01","Québec, Quebec",30.1
"1981-02","Québec, Quebec",30.6
"1981-03","Québec, Quebec",30.6
"1981-04","Québec, Quebec",31
"1981-05","Québec, Quebec",31.4
"1981-06","Québec, Quebec",31.4
"1981-07","Québec, Quebec",31.4
"1981-08","Québec, Quebec",31.6
"1981-09","Québec, Quebec",31.8
"1981-10","Québec, Quebec",31.8
"1981-11","Québec, Quebec",32
"1981-12","Québec, Quebec",32
"1982-01","Québec, Quebec",32.4
"1982-02","Québec, Quebec",32.7
"1982-03","Québec, Quebec",32.7
"1982-04","Québec, Quebec",32.9
"1982-05","Québec, Quebec",33
"1982-06","Québec, Quebec",33
"1982-07","Québec, Quebec",33
"1982-08","Québec, Quebec",33.3
"1982-09","Québec, Quebec",33.6
"1982-10","Québec, Quebec",33.6
"1982-11","Québec, Quebec",33.7
"1982-12","Québec, Quebec",33.7
"1983-01","Québec, Quebec",34.1
"1983-02","Québec, Quebec",34.4
"1983-03","Québec, Quebec",34.4
"1983-04","Québec, Quebec",34.4
"1983-05","Québec, Quebec",35.1
"1983-06","Québec, Quebec",35.4
"1983-07","Québec, Quebec",35.6
"1983-08","Québec, Quebec",36
"1983-09","Québec, Quebec",36.1
"1983-10","Québec, Quebec",36.2
"1983-11","Québec, Quebec",36.2
"1983-12","Québec, Quebec",36.2
"1984-01","Québec, Quebec",36.3
"1984-02","Québec, Quebec",36.6
"1984-03","Québec, Quebec",36.6
"1984-04","Québec, Quebec",36.7
"1984-05","Québec, Quebec",36.8
"1984-06","Québec, Quebec",37
"1984-07","Québec, Quebec",37
"1984-08","Québec, Quebec",37.5
"1984-09","Québec, Quebec",37.6
"1984-10","Québec, Quebec",37.6
"1984-11","Québec, Quebec",37.6
"1984-12","Québec, Quebec",37.8
"1985-01","Québec, Quebec",38.1
"1985-02","Québec, Quebec",38.3
"1985-03","Québec, Quebec",38.5
"1985-04","Québec, Quebec",38.6
"1985-05","Québec, Quebec",38.7
"1985-06","Québec, Quebec",39
"1985-07","Québec, Quebec",39.1
"1985-08","Québec, Quebec",39.4
"1985-09","Québec, Quebec",39.5
"1985-10","Québec, Quebec",39.7
"1985-11","Québec, Quebec",40
"1985-12","Québec, Quebec",40
"1986-01","Québec, Quebec",40.2
"1986-02","Québec, Quebec",40.5
"1986-03","Québec, Quebec",40.7
"1986-04","Québec, Quebec",40.9
"1986-05","Québec, Quebec",41.1
"1986-06","Québec, Quebec",41.3
"1986-07","Québec, Quebec",41.7
"1986-08","Québec, Quebec",42.2
"1986-09","Québec, Quebec",42.4
"1986-10","Québec, Quebec",42.8
"1986-11","Québec, Quebec",43.2
"1986-12","Québec, Quebec",43.2
"1987-01","Québec, Quebec",43.9
"1987-02","Québec, Quebec",44.3
"1987-03","Québec, Quebec",44.4
"1987-04","Québec, Quebec",44.8
"1987-05","Québec, Quebec",45
"1987-06","Québec, Quebec",45.2
"1987-07","Québec, Quebec",45.3
"1987-08","Québec, Quebec",45.6
"1987-09","Québec, Quebec",46.1
"1987-10","Québec, Quebec",46.7
"1987-11","Québec, Quebec",46.8
"1987-12","Québec, Quebec",47
"1988-01","Québec, Quebec",47.4
"1988-02","Québec, Quebec",47.8
"1988-03","Québec, Quebec",48.4
"1988-04","Québec, Quebec",48.8
"1988-05","Québec, Quebec",49.4
"1988-06","Québec, Quebec",49.6
"1988-07","Québec, Quebec",49.6
"1988-08","Québec, Quebec",49.8
"1988-09","Québec, Quebec",50.1
"1988-10","Québec, Quebec",50.2
"1988-11","Québec, Quebec",50.7
"1988-12","Québec, Quebec",50.9
"1989-01","Québec, Quebec",51.2
"1989-02","Québec, Quebec",51.7
"1989-03","Québec, Quebec",52.1
"1989-04","Québec, Quebec",52.2
"1989-05","Québec, Quebec",53
"1989-06","Québec, Quebec",53
"1989-07","Québec, Quebec",53
"1989-08","Québec, Quebec",53.1
"1989-09","Québec, Quebec",53.1
"1989-10","Québec, Quebec",53.4
"1989-11","Québec, Quebec",53.8
"1989-12","Québec, Quebec",53.9
"1990-01","Québec, Quebec",53.9
"1990-02","Québec, Quebec",53.9
"1990-03","Québec, Quebec",54.1
"1990-04","Québec, Quebec",54.1
"1990-05","Québec, Quebec",54.1
"1990-06","Québec, Quebec",54.2
"1990-07","Québec, Quebec",54.4
"1990-08","Québec, Quebec",54.8
"1990-09","Québec, Quebec",55
"1990-10","Québec, Quebec",55.1
"1990-11","Québec, Quebec",55.4
"1990-12","Québec, Quebec",55.4
"1991-01","Québec, Quebec",55.2
"1991-02","Québec, Quebec",56.6
"1991-03","Québec, Quebec",56.5
"1991-04","Québec, Quebec",55.7
"1991-05","Québec, Quebec",56
"1991-06","Québec, Quebec",56.1
"1991-07","Québec, Quebec",56.1
"1991-08","Québec, Quebec",56.1
"1991-09","Québec, Quebec",56.2
"1991-10","Québec, Quebec",56.1
"1991-11","Québec, Quebec",56.2
"1991-12","Québec, Quebec",56.1
"1992-01","Québec, Quebec",56.1
"1992-02","Québec, Quebec",56.3
"1992-03","Québec, Quebec",56.2
"1992-04","Québec, Quebec",56.4
"1992-05","Québec, Quebec",57.2
"1992-06","Québec, Quebec",57.2
"1992-07","Québec, Quebec",57.1
"1992-08","Québec, Quebec",56.8
"1992-09","Québec, Quebec",56.4
"1992-10","Québec, Quebec",56.3
"1992-11","Québec, Quebec",56.2
"1992-12","Québec, Quebec",56.1
"1993-01","Québec, Quebec",56
"1993-02","Québec, Quebec",56
"1993-03","Québec, Quebec",56.1
"1993-04","Québec, Quebec",56.4
"1993-05","Québec, Quebec",56.5
"1993-06","Québec, Quebec",56.6
"1993-07","Québec, Quebec",56.6
"1993-08","Québec, Quebec",56.5
"1993-09","Québec, Quebec",56.4
"1993-10","Québec, Quebec",56.4
"1993-11","Québec, Quebec",56.4
"1993-12","Québec, Quebec",56.4
"1994-01","Québec, Quebec",56.4
"1994-02","Québec, Quebec",56
"1994-03","Québec, Quebec",55.9
"1994-04","Québec, Quebec",55.8
