"REF_DATE","GEO","VALUE"
"1981-01","Toronto, Ontario",28
"1981-02","Toronto, Ontario",28.5
"1981-03","Toronto, Ontario",29.8
"1981-04","Toronto, Ontario",31.2
"1981-05","Toronto, Ontario",32.3
"1981-06","Toronto, Ontario",32.3
"1981-07","Toronto, Ontario",32.2
"1981-08","Toronto, Ontario",32.5
"1981-09","Toronto, Ontario",32.6
"1981-10","Toronto, Ontario",32.5
"1981-11","Toronto, Ontario",32.5
"1981-12","Toronto, Ontario",32.5
"1982-01","Toronto, Ontario",32.7
"1982-02","Toronto, Ontario",32.4
"1982-03","Toronto, Ontario",32.4
"1982-04","Toronto, Ontario",32.4
"1982-05","Toronto, Ontario",32.3
"1982-06","Toronto, Ontario",32.1
"1982-07","Toronto, Ontario",32.1
"1982-08","Toronto, Ontario",31.6
"1982-09","Toronto, Ontario",31.5
"1982-10","Toronto, Ontario",31.1
"1982-11","Toronto, Ontario",30.9
"1982-12","Toronto, Ontario",30.7
"1983-01","Toronto, Ontario",30.7
"1983-02","Toronto, Ontario",30.6
"1983-03","Toronto, Ontario",30.6
"1983-04","Toronto, Ontario",30.5
"1983-05","Toronto, Ontario",30.4
"1983-06","Toronto, Ontario",30.6
"1983-07","Toronto, Ontario",30.5
"1983-08","Toronto, Ontario",30.5
"1983-09","Toronto, Ontario",30.5
"1983-10","Toronto, Ontario",30.5
"1983-11","Toronto, Ontario",30.5
"1983-12","Toronto, Ontario",30.5
"1984-01","Toronto, Ontario",30.5
"1984-02","Toronto, Ontario",30.5
"1984-03","Toronto, Ontario",30.6
"1984-04","Toronto, Ontario",30.6
"1984-05","Toronto, Ontario",30.7
"1984-06","Toronto, Ontario",30.7
"1984-07","Toronto, Ontario",30.8
"1984-08","Toronto, Ontario",30.7
"1984-09","Toronto, Ontario",30.7
"1984-10","Toronto, Ontario",30.8
"1984-11","Toronto, Ontario",30.8
"1984-12","Toronto, Ontario",30.8
"1985-01","Toronto, Ontario",30.9
"1985-02","Toronto, Ontario",31
"1985-03","Toronto, Ontario",31.1
"1985-04","Toronto, Ontario",31.1
"1985-05","Toronto, Ontario",31.1
"1985-06","Toronto, Ontario",31.3
"1985-07","Toronto, Ontario",31.5
"1985-08","Toronto, Ontario",31.7
"1985-09","Toronto, Ontario",31.9
"1985-10","Toronto, Ontario",32
"1985-11","Toronto, Ontario",32.3
"1985-12","Toronto, Ontario",32.5
"1986-01","Toronto, Ontario",33.3
"1986-02","Toronto, Ontario",34.1
"1986-03","Toronto, Ontario",34.6
"1986-04","Toronto, Ontario",34.8
"1986-05","Toronto, Ontario",35.3
"1986-06","Toronto, Ontario",35.8
"1986-07","Toronto, Ontario",36.2
"1986-08","Toronto, Ontario",37.1
"1986-09","Toronto, Ontario",38.9
"1986-10","Toronto, Ontario",39.7
"1986-11","Toronto, Ontario",40.6
"1986-12","Toronto, Ontario",41
"1987-01","Toronto, Ontario",41.5
"1987-02","Toronto, Ontario",42.8
"1987-03","Toronto, Ontario",45.5
"1987-04","Toronto, Ontario",46.5
"1987-05","Toronto, Ontario",47
"1987-06","Toronto, Ontario",47.1
"1987-07","Toronto, Ontario",47.3
"1987-08","Toronto, Ontario",47.3
"1987-09","Toronto, Ontario",47.7
"1987-10","Toronto, Ontario",48
"1987-11","Toronto, Ontario",48.1
"1987-12","Toronto, Ontario",48.2
"1988-01","Toronto, Ontario",48.2
"1988-02","Toronto, Ontario",48.9
"1988-03","Toronto, Ontario",49.7
"1988-04","Toronto, Ontario",51.7
"1988-05","Toronto, Ontario",53.1
"1988-06","Toronto, Ontario",53.9
"1988-07","Toronto, Ontario",54.2
"1988-08","Toronto, Ontario",55
"1988-09","Toronto, Ontario",57.1
"1988-10","Toronto, Ontario",57.8
"1988-11","Toronto, Ontario",59.2
"1988-12","Toronto, Ontario",61
"1989-01","Toronto, Ontario",61.9
"1989-02","Toronto, Ontario",64.1
"1989-03","Toronto, Ontario",65.9
"1989-04","Toronto, Ontario",66.6
"1989-05","Toronto, Ontario",66.7
"1989-06","Toronto, Ontario",67
"1989-07","Toronto, Ontario",67
"1989-08","Toronto, Ontario",67
"1989-09","Toronto, Ontario",67.1
"1989-10","Toronto, Ontario",67.1
"1989-11","Toronto, Ontario",67.3
"1989-12","Toronto, Ontario",67.3
"1990-01","Toronto, Ontario",67.2
"1990-02","Toronto, Ontario",66.9
"1990-03","Toronto, Ontario",66.8
"1990-04","Toronto, Ontario",66.2
"1990-05","Toronto, Ontario",66
"1990-06","Toronto, Ontario",64.4
"1990-07","Toronto, Ontario",63.7
"1990-08","Toronto, Ontario",62.8
"1990-09","Toronto, Ontario",61.5
"1990-10","Toronto, Ontario",60.6
"1990-11","Toronto, Ontario",59.3
"1990-12","Toronto, Ontario",59.1
"1991-01","Toronto, Ontario",56.8
"1991-02","Toronto, Ontario",54
"1991-03","Toronto, Ontario",53.9
"1991-04","Toronto, Ontario",53.7
"1991-05","Toronto, Ontario",54.3
"1991-06","Toronto, Ontario",54.3
"1991-07","Toronto, Ontario",54.3
"1991-08","Toronto, Ontario",54
"1991-09","Toronto, Ontario",54
"1991-10","Toronto, Ontario",53.9
"1991-11","Toronto, Ontario",53.1
"1991-12","Toronto, Ontario",53.2
"1992-01","Toronto, Ontario",53
"1992-02","Toronto, Ontario",52.1
"1992-03","Toronto, Ontario",52.1
"1992-04","Toronto, Ontario",52.1
"1992-05","Toronto, Ontario",51.9
"1992-06","Toronto, Ontario",51.9
"1992-07","Toronto, Ontario",51.7
"1992-08","Toronto, Ontario",51.6
"1992-09","Toronto, Ontario",51.2
"1992-10","Toronto, Ontario",51.2
"1992-11","Toronto, Ontario",51.1
"1992-12","Toronto, Ontario",51
"1993-01","Toronto, Ontario",51
"1993-02","Toronto, Ontario",50.6
"1993-03","Toronto, Ontario",50.6
"1993-04","Toronto, Ontario",50.5
"1993-05","Toronto, Ontario",50.1
"1993-06","Toronto, Ontario",50.7
"1993-07","Toronto, Ontario",50.3
"1993-08","Toronto, Ontario",50.5
"1993-09","Toronto, Ontario",50.6
"1993-10","Toronto, Ontario",50.3
"1993-11","Toronto, Ontario",50.2
"1993-12","Toronto, Ontario",50.2
"1994-01","Toronto, Ontario",50.1
"1994-02","Toronto, Ontario",50
"1994-03","Toronto, Ontario",50.1
"1994-04","Toronto, Ontario",50.1
"1994-05","Toronto, Ontario",50.1
"1994-06","Toronto, Ontario",50.4
"1994-07","Toronto, Ontario",50.4
"1994-08","Toronto, Ontario",50.5
"1994-09","Toronto, Ontario",50.6
"1994-10","Toronto, Ontario",50.7
"1994-11","Toronto, Ontario",50.5
"1994-12","Toronto, Ontario",50.5
"1995-01","Toronto, Ontario",50.6
"1995-02","Toronto, Ontario",50.9
"1995-03","Toronto, Ontario",51
"1995-04","Toronto, Ontario",50.9
"1995-05","Toronto, Ontario",50.8
"1995-06","Toronto, Ontario",50.5
"1995-07","Toronto, Ontario",50.7
"1995-08","Toronto, Ontario",50.7
"1995-09","Toronto, Ontario",50.7
"1995-10","Toronto, Ontario",50.5
"1995-11","Toronto, Ontario",50.3
"1995-12","Toronto, Ontario",50.5
"1996-01","Toronto, Ontario",50.6
"1996-02","Toronto, Ontario",50.1
"1996-03","Toronto, Ontario",50.2
"1996-04","Toronto, Ontario",50
"1996-05","Toronto, Ontario",49.9
"1996-06","Toronto, Ontario",50
"1996-07","Toronto, Ontario",50
"1996-08","Toronto, Ontario",50
"1996-09","Toronto, Ontario",49.9
