"REF_DATE","GEO","VALUE"
"1981-01","Vancouver, British Columbia",90.5
"1981-02","Vancouver, British Columbia",92.2
"1981-03","Vancouver, British Columbia",92.2
"1981-04","Vancouver, British Columbia",91.8
"1981-05","Vancouver, British Columbia",91.8
"1981-06","Vancouver, British Columbia",91.9
"1981-07","Vancouver, British Columbia",91.8
"1981-08","Vancouver, British Columbia",87.3
"1981-09","Vancouver, British Columbia",84.4
"1981-10","Vancouver, British Columbia",82.4
"1981-11","Vancouver, British Columbia",78.2
"1981-12","Vancouver, British Columbia",77.8
"1982-01","Vancouver, British Columbia",77.5
"1982-02","Vancouver, British Columbia",76.8
"1982-03","Vancouver, British Columbia",74.3
"1982-04","Vancouver, British Columbia",73.1
"1982-05","Vancouver, British Columbia",70.6
"1982-06","Vancouver, British Columbia",68.1
"1982-07","Vancouver, British Columbia",66
"1982-08","Vancouver, British Columbia",65.5
"1982-09","Vancouver, British Columbia",65
"1982-10","Vancouver, British Columbia",65.2
"1982-11","Vancouver, British Columbia",64.8
"1982-12","Vancouver, British Columbia",64.6
"1983-01","Vancouver, British Columbia",65.1
"1983-02","Vancouver, British Columbia",65.9
"1983-03","Vancouver, British Columbia",66.5
"1983-04","Vancouver, British Columbia",66.6
"1983-05","Vancouver, British Columbia",66.7
"1983-06","Vancouver, British Columbia",66.7
"1983-07","Vancouver, British Columbia",66.8
"1983-08","Vancouver, British Columbia",66.8
"1983-09","Vancouver, British Columbia",66.8
"1983-10","Vancouver, British Columbia",67
"1983-11","Vancouver, British Columbia",67
"1983-12","Vancouver, British Columbia",67
"1984-01","Vancouver, British Columbia",67.1
"1984-02","Vancouver, British Columbia",67.1
"1984-03","Vancouver, British Columbia",67.3
"1984-04","Vancouver, British Columbia",67.4
"1984-05","Vancouver, British Columbia",67.4
"1984-06","Vancouver, British Columbia",67.4
"1984-07","Vancouver, British Columbia",67.4
"1984-08","Vancouver, British Columbia",67.1
"1984-09","Vancouver, British Columbia",66.2
"1984-10","Vancouver, British Columbia",65.6
"1984-11","Vancouver, British Columbia",65.2
"1984-12","Vancouver, British Columbia",65.2
"1985-01","Vancouver, British Columbia",65.2
"1985-02","Vancouver, British Columbia",65.2
"1985-03","Vancouver, British Columbia",64.7
"1985-04","Vancouver, British Columbia",64.7
"1985-05","Vancouver, British Columbia",63.7
"1985-06","Vancouver, British Columbia",63.7
"1985-07","Vancouver, British Columbia",63.8
"1985-08","Vancouver, British Columbia",63.8
"1985-09","Vancouver, British Columbia",63.8
"1985-10","Vancouver, British Columbia",63.8
"1985-11","Vancouver, British Columbia",64
"1985-12","Vancouver, British Columbia",64.1
"1986-01","Vancouver, British Columbia",63.8
